 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  1.16E+14 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
  INITIAL MIXING RATIO OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
 N = 16  EMAX = 2.56E-11 FOR Q       AT Z = 9.35E+06 U = 7.60E-03 RHS =-1.94E-13
 N = 17  EMAX = 5.82E-11 FOR Q       AT Z = 9.85E+06 U = 1.81E-02 RHS = 1.05E-12
 N = 18  EMAX = 4.39E-11 FOR HOQ     AT Z = 9.85E+06 U = 1.11E-12 RHS =-4.89E-23
 N = 19  EMAX = 2.90E-11 FOR Q       AT Z = 9.85E+06 U = 1.81E-02 RHS = 5.24E-13
 N = 20  EMAX = 3.25E-11 FOR Q       AT Z = 9.95E+06 U = 2.06E-02 RHS = 6.70E-13
 N = 21  EMAX = 6.61E-11 FOR HO2NOQ  AT Z = 9.45E+06 U = 2.40E-25 RHS =-1.58E-35
 N = 22  EMAX = 6.58E-11 FOR HO2NOQ  AT Z = 9.05E+06 U = 4.09E-23 RHS =-2.69E-33
 N = 23  EMAX = 5.15E-11 FOR HO2NOQ  AT Z = 9.05E+06 U = 4.09E-23 RHS = 2.11E-33
 N = 24  EMAX = 2.82E-11 FOR HQO     AT Z = 8.65E+06 U = 1.40E-10 RHS = 3.95E-21
 N = 25  EMAX = 2.82E-11 FOR Q       AT Z = 4.25E+06 U = 1.52E-08 RHS =-4.30E-19


 MIXING RATIO OF ISOTOPES AND NORMAL SPECIES
      H2CQ          Q         H2Q          QH         HOQ         H2OQ         O2Q         OQO         CQ
    2.05281E-10 4.98653E-17 1.37069E-02 6.66089E-14 1.50275E-11 3.20628E-09 2.79497E-08 1.39749E-08 1.10910E-07
    5.49246E-11 9.67086E-16 6.73968E-05 1.60359E-13 6.08915E-12 5.37949E-10 1.33187E-07 6.65934E-08 5.04724E-08
      H2CO          O         H2O          OH         HO2         H2O2         O3           O3         CO
    2.05280E-10 4.98653E-17 1.37069E-02 6.65779E-14 1.48868E-11 1.59826E-09 1.39749E-08 1.39749E-08 1.10910E-07
    5.49255E-11 9.67086E-16 6.73968E-05 1.60831E-13 6.06237E-12 2.69017E-10 6.65934E-08 6.65934E-08 5.04725E-08
 
      CH3OQH      CH3QOH      CH3OQ       CH3QO       N2Q          NQ          NOQ         HNOQ       HNO2Q
    1.27448E-09 1.27448E-09 8.61606E-12 8.61606E-12 2.95630E-07 3.79078E-12 1.63704E-11 5.44391E-14 1.97784E-10
    1.10526E-10 1.10526E-10 1.44764E-12 1.44764E-12 2.94936E-07 2.26001E-11 2.99979E-11 2.43478E-13 9.07111E-10
      CH3OOH      CH3OOH      CH3O2       CH3O2       N2O          NO          NO2         HNO2       HNO3
    1.27447E-09 1.27447E-09 8.61599E-12 8.61599E-12 2.95629E-07 3.77898E-12 8.15961E-12 2.71710E-14 6.58411E-11
    1.10528E-10 1.10528E-10 1.44766E-12 1.44766E-12 2.94936E-07 2.25827E-11 1.49873E-11 1.21871E-13 3.02410E-10
 
      HOQNO2      HO2NOQ       NO2Q       N2O4Q       N2QO4        OQ           SQ         SOQ       H2SO3Q        HSQ         COQ
    1.65671E-13 3.29270E-13 1.12787E-14 7.41725E-17 1.85431E-17 4.20000E-01 4.73195E-20 5.51631E-11 8.76860E-12 6.15910E-14 7.99997E-04
    6.30102E-11 1.25540E-10 1.98786E-14 4.43116E-14 1.10779E-14 4.20061E-01 1.68107E-18 2.83793E-10 5.21786E-11 2.33486E-13 8.62025E-04
      HO2NO2      HO2NO2       NO3        N2O5        N2O5         O2           SO         SO2        H2SO4        HSO         CO2
    1.64120E-13 1.64120E-13 3.75227E-15 1.84983E-17 1.84983E-17 2.10000E-01 4.73189E-20 2.75815E-11 2.19249E-12 6.15890E-14 4.00000E-04
    6.27166E-11 6.27166E-11 6.62644E-15 1.10748E-14 1.10748E-14 2.10031E-01 1.68106E-18 1.41897E-10 1.30544E-11 2.33485E-13 4.31015E-04


 NUMBER DENSITY OF ISOTOPES AND NORMAL SPECIES
      H2CQ          Q         H2Q          QH         HOQ         H2OQ         O2Q         OQO         CQ
    4.92819E+09 1.19712E+03 3.29062E+17 1.59908E+06 3.60766E+08 7.69732E+10 6.70990E+11 3.35495E+11 2.66263E+12
    5.02916E+08 8.85510E+03 6.17118E+14 1.46833E+06 5.57552E+07 4.92572E+09 1.21952E+12 6.09761E+11 4.62150E+11
      H2CO          O         H2O          OH         HO2         H2O2         O3           O3         CO
    4.92816E+09 1.19712E+03 3.29062E+17 1.59834E+06 3.57389E+08 3.83695E+10 3.35495E+11 3.35495E+11 2.66263E+12
    5.02925E+08 8.85511E+03 6.17118E+14 1.47265E+06 5.55100E+07 2.46325E+09 6.09762E+11 6.09762E+11 4.62151E+11
      CH3OQH      CH3QOH      CH3OQ       CH3QO       N2Q          NQ          NOQ         HNOQ       HNO2Q
    3.05964E+10 3.05964E+10 2.06846E+08 2.06846E+08 7.09719E+12 9.10053E+07 3.93006E+08 1.30692E+06 4.74820E+09
    1.01203E+09 1.01203E+09 1.32552E+07 1.32552E+07 2.70058E+12 2.06938E+08 2.74676E+08 2.22941E+06 8.30595E+09
      CH3OOH      CH3OOH      CH3O2       CH3O2       N2O          NO          NO2         HNO2       HNO3
    3.05962E+10 3.05962E+10 2.06844E+08 2.06844E+08 7.09718E+12 9.07220E+07 1.95888E+08 6.52295E+05 1.58065E+09
    1.01205E+09 1.01205E+09 1.32555E+07 1.32555E+07 2.70058E+12 2.06778E+08 1.37231E+08 1.11591E+06 2.76901E+09
      HOQNO2      HO2NOQ       NO2Q       N2O4Q       N2QO4        OQ           SQ         SOQ       H2SO3Q        HSQ         COQ
    1.98863E+06 7.90480E+06 2.70768E+05 1.78066E+03 4.45166E+02 1.00829E+19 1.13600E+00 1.32430E+09 2.10508E+08 1.47862E+06 1.92055E+16
    5.76952E+08 1.14950E+09 1.82018E+05 4.05739E+05 1.01435E+05 3.84628E+18 1.53927E+01 2.59855E+09 4.77772E+08 2.13791E+06 7.89312E+15
      HO2NO2      HO2NO2       NO3        N2O5        N2O5         O2           SO         SO2        H2SO4        HSO         CO2
    3.94004E+06 3.94004E+06 9.00809E+04 4.44090E+02 4.44090E+02 5.04148E+18 1.13599E+00 6.62151E+08 5.26353E+07 1.47857E+06 9.60281E+15
    5.74264E+08 5.74264E+08 6.06749E+04 1.01406E+05 1.01406E+05 1.92314E+18 1.53926E+01 1.29927E+09 1.19533E+08 2.13790E+06 3.94658E+15
 
      Q1D         H3CQ          HCQ       SQ21        SQ23        HSO2Q         SO2Q
    4.99679E-03 3.19356E+01 4.91470E-03 4.29317E-04 3.12108E-03 1.43405E-03 1.51467E+00
    2.55624E-02 2.17780E+01 1.36843E-03 3.30397E-03 2.36194E-02 1.00922E-02 1.62049E+03
      O1D         H3CO          HCO       SO21        SO23         HSO3         SO3
    4.99727E-03 3.19358E+01 4.91465E-03 2.14667E-04 1.56060E-03 4.77926E-04 5.04796E-01
    2.55629E-02 2.17781E+01 1.36843E-03 1.65211E-03 1.18106E-02 3.36728E-03 5.40678E+02
 
          MIXING RATIO OF ISOTOPIC SPECIES
Alt(km)   H2CQ        Q           H2Q         QH          HOQ         H2OQ        O2Q         OQO         CQ          CH3OQH  
   0.5   2.0528E-10  4.9865E-17  1.3707E-02  6.6609E-14  1.5028E-11  3.2063E-09  2.7950E-08  1.3975E-08  1.1091E-07  1.2745E-09
   1.5   2.1255E-10  7.0814E-17  8.9056E-03  8.1095E-14  1.5269E-11  3.2889E-09  3.4074E-08  1.7037E-08  9.9021E-08  1.2692E-09
   2.5   2.1049E-10  1.0437E-16  5.6523E-03  9.8358E-14  1.5273E-11  3.2157E-09  4.3108E-08  2.1554E-08  8.8783E-08  1.1796E-09
   3.5   1.9788E-10  1.5376E-16  3.3519E-03  1.1490E-13  1.4705E-11  2.8986E-09  5.4535E-08  2.7268E-08  8.0050E-08  9.9271E-10
   5.5   1.5093E-10  3.1002E-16  1.0428E-03  1.4329E-13  1.2258E-11  1.9367E-09  8.0951E-08  4.0475E-08  6.6439E-08  5.5986E-10
   7.5   9.0617E-11  5.6065E-16  2.8560E-04  1.4540E-13  8.9476E-12  1.0775E-09  1.0706E-07  5.3532E-08  5.7035E-08  2.6884E-10
   9.5   5.4925E-11  9.6709E-16  6.7397E-05  1.6036E-13  6.0892E-12  5.3795E-10  1.3319E-07  6.6593E-08  5.0472E-08  1.1053E-10
  11.5   3.0300E-11  1.9095E-15  1.2183E-05  1.8459E-13  3.1757E-12  1.6516E-10  1.8658E-07  9.3289E-08  4.2284E-08  2.4925E-11
  13.5   2.2404E-11  7.4744E-15  9.8644E-06  1.9581E-13  1.8315E-12  2.7936E-11  3.8902E-07  1.9451E-07  2.8703E-08  4.7199E-12
  15.5   1.8431E-11  3.3104E-14  1.0013E-05  2.1979E-13  1.4316E-12  1.0626E-11  9.1498E-07  4.5749E-07  1.7347E-08  1.6906E-12
  17.5   1.7569E-11  1.2617E-13  1.0253E-05  2.9453E-13  1.8143E-12  1.1652E-11  1.8503E-06  9.2516E-07  1.1740E-08  1.2749E-12
  19.5   1.9065E-11  4.1638E-13  1.0557E-05  4.6547E-13  3.0401E-12  2.2283E-11  3.2329E-06  1.6164E-06  9.4396E-09  1.5733E-12
  21.5   2.3163E-11  1.2609E-12  1.0883E-05  8.3660E-13  6.0392E-12  5.7587E-11  5.0622E-06  2.5311E-06  8.5953E-09  2.6665E-12
  23.5   3.0125E-11  3.6580E-12  1.1213E-05  1.6393E-12  1.3118E-11  1.6743E-10  7.4094E-06  3.7047E-06  8.3034E-09  5.1896E-12
  25.5   3.8811E-11  1.0194E-11  1.1542E-05  3.3354E-12  2.7814E-11  4.4462E-10  1.0373E-05  5.1865E-06  8.1225E-09  9.1547E-12
  27.5   4.8331E-11  2.7498E-11  1.1870E-05  6.9143E-12  5.5114E-11  9.8571E-10  1.3904E-05  6.9521E-06  7.9023E-09  1.3423E-11
  29.5   5.7059E-11  7.1066E-11  1.2195E-05  1.4536E-11  9.9145E-11  1.7191E-09  1.7492E-05  8.7460E-06  7.5702E-09  1.5721E-11
  31.5   6.2590E-11  1.7441E-10  1.2516E-05  3.0873E-11  1.5910E-10  2.2837E-09  2.0181E-05  1.0091E-05  7.0878E-09  1.4719E-11
  33.5   6.4709E-11  4.1209E-10  1.2821E-05  6.4810E-11  2.2571E-10  2.2696E-09  2.0728E-05  1.0364E-05  6.5907E-09  1.1500E-11
  35.5   6.3719E-11  9.4542E-10  1.3098E-05  1.2945E-10  2.8244E-10  1.7426E-09  1.8986E-05  9.4928E-06  6.1372E-09  7.8974E-12
  37.5   5.9247E-11  2.1400E-09  1.3325E-05  2.4578E-10  3.2614E-10  1.1821E-09  1.6271E-05  8.1353E-06  5.6418E-09  5.1653E-12
  39.5   5.3250E-11  4.9065E-09  1.3491E-05  4.3924E-10  3.6856E-10  8.0915E-10  1.3126E-05  6.5628E-06  5.1907E-09  3.5402E-12
  41.5   4.6587E-11  1.0772E-08  1.3589E-05  6.8206E-10  4.1982E-10  6.2647E-10  1.0106E-05  5.0529E-06  4.9317E-09  2.7438E-12
  43.5   3.9863E-11  2.0815E-08  1.3617E-05  8.9133E-10  4.7403E-10  5.3959E-10  7.5723E-06  3.7862E-06  5.0039E-09  2.3952E-12
  45.5   3.3696E-11  3.5209E-08  1.3581E-05  1.0329E-09  5.1935E-10  4.7627E-10  5.6073E-06  2.8036E-06  5.5108E-09  2.2218E-12
  47.5   2.8253E-11  5.4427E-08  1.3488E-05  1.1267E-09  5.5547E-10  4.1879E-10  4.1736E-06  2.0868E-06  6.5218E-09  2.1183E-12
  49.5   2.2672E-11  7.7549E-08  1.3341E-05  1.2166E-09  5.9288E-10  3.8811E-10  3.2836E-06  1.6418E-06  8.1005E-09  1.9616E-12
  51.5   1.8274E-11  1.0645E-07  1.3149E-05  1.3111E-09  6.3489E-10  3.6784E-10  2.6070E-06  1.3035E-06  1.0656E-08  1.8249E-12
  53.5   1.4550E-11  1.3833E-07  1.2923E-05  1.4368E-09  6.9065E-10  3.7388E-10  2.1455E-06  1.0727E-06  1.4630E-08  1.6478E-12
  55.5   1.1692E-11  1.7427E-07  1.2669E-05  1.6045E-09  7.6748E-10  3.9955E-10  1.7505E-06  8.7523E-07  2.0838E-08  1.4826E-12
  57.5   9.5181E-12  2.1343E-07  1.2392E-05  1.8388E-09  8.7859E-10  4.4893E-10  1.3866E-06  6.9328E-07  3.0337E-08  1.3397E-12
  59.5   7.8017E-12  2.5412E-07  1.2093E-05  2.1745E-09  1.0412E-09  5.3464E-10  1.0632E-06  5.3159E-07  4.4462E-08  1.2080E-12
  61.5   6.3856E-12  2.9650E-07  1.1776E-05  2.6446E-09  1.2705E-09  6.7212E-10  7.9354E-07  3.9677E-07  6.4902E-08  1.0730E-12
  63.5   4.8989E-12  3.2740E-07  1.1444E-05  3.2708E-09  1.5544E-09  9.1626E-10  6.4804E-07  3.2402E-07  9.3412E-08  8.8357E-13
  65.5   5.5074E-12  3.9279E-07  1.1094E-05  4.1647E-09  1.9954E-09  1.2083E-09  4.3456E-07  2.1728E-07  1.3310E-07  7.6346E-13
  67.5   1.0881E-11  4.4733E-07  1.0712E-05  5.5210E-09  2.6378E-09  1.7394E-09  3.0366E-07  1.5183E-07  1.8835E-07  6.4199E-13
  69.5   2.6641E-11  4.9945E-07  1.0298E-05  7.7819E-09  3.6842E-09  2.6839E-09  2.0533E-07  1.0267E-07  2.6218E-07  5.2634E-13
  71.5   5.5686E-11  5.6722E-07  9.8506E-06  1.1311E-08  5.2394E-09  4.0671E-09  1.3761E-07  6.8804E-08  3.5730E-07  4.1981E-13
  73.5   9.5845E-11  6.8887E-07  9.3300E-06  1.6001E-08  7.1315E-09  5.6200E-09  9.3345E-08  4.6673E-08  4.8603E-07  3.1805E-13
  75.5   1.4165E-10  9.0600E-07  8.6812E-06  2.1190E-08  8.9023E-09  6.8362E-09  6.6251E-08  3.3125E-08  6.6926E-07  2.1731E-13
  77.5   1.8618E-10  1.2924E-06  7.9059E-06  2.5772E-08  1.0035E-08  7.2023E-09  4.9076E-08  2.4538E-08  9.2063E-07  1.3088E-13
  79.5   2.1399E-10  1.8344E-06  7.0148E-06  3.4230E-08  1.1825E-08  6.7221E-09  3.3825E-08  1.6913E-08  1.2544E-06  6.7920E-14
  81.5   2.6069E-10  1.3713E-05  5.8731E-06  1.3046E-08  4.7598E-09  3.1382E-09  9.1427E-08  4.5714E-08  1.6941E-06  2.5915E-14
  83.5   1.5612E-10  1.2330E-04  4.6637E-06  3.2108E-09  8.8798E-10  9.4090E-10  3.5180E-07  1.7590E-07  2.1969E-06  8.9790E-15
  85.5   7.0040E-11  4.8144E-04  3.6235E-06  1.4943E-09  2.4615E-10  2.7260E-10  7.3668E-07  3.6834E-07  2.7227E-06  3.0894E-15
  87.5   3.3898E-11  1.2659E-03  2.7856E-06  8.2449E-10  8.2954E-11  7.7968E-11  1.0263E-06  5.1317E-07  3.2621E-06  1.0687E-15
  89.5   1.9392E-11  2.6340E-03  2.1288E-06  4.8491E-10  3.2226E-11  2.1945E-11  1.1853E-06  5.9263E-07  3.8123E-06  3.7127E-16
  91.5   1.1270E-11  4.7176E-03  1.6239E-06  2.7785E-10  1.3599E-11  6.0755E-12  1.0981E-06  5.4905E-07  4.3709E-06  1.3010E-16
  93.5   7.3078E-12  7.5971E-03  1.2416E-06  1.5928E-10  6.2081E-12  1.6543E-12  9.3701E-07  4.6851E-07  4.9365E-06  4.5930E-17
  95.5   5.1765E-12  1.1274E-02  9.6139E-07  8.9990E-11  3.0131E-12  4.4930E-13  7.3463E-07  3.6732E-07  5.5030E-06  1.6478E-17
  97.5   3.9542E-12  1.5659E-02  7.6921E-07  4.9711E-11  1.5353E-12  1.2617E-13  5.2801E-07  2.6400E-07  6.0634E-06  6.2418E-18
  99.5   3.2577E-12  2.0575E-02  6.5815E-07  2.6909E-11  8.1361E-13  4.8491E-14  3.4934E-07  1.7467E-07  6.6102E-06  3.1481E-18
Alt(km)   H2CQ        Q           H2Q         QH          HOQ         H2OQ        O2Q         OQO         CQ          CH3OQH  
 
   TPI   1.7684E+11  1.1665E+20  6.4608E+11  7.9698E+12  6.8027E+12  3.6322E+11  6.6380E+15  3.3190E+15  1.7645E+11  1.7057E+11
   TLI   1.7585E+11  1.1665E+20  3.4319E+11  7.9698E+12  6.8023E+12  3.4782E+11  6.6379E+15  3.3190E+15  5.2250E+11  1.6445E+11
 
Alt(km)   CH3QOH      CH3OQ       CH3QO       N2Q         NQ          NOQ         HNOQ        HNO2Q       HOQNO2      HO2NOQ  
   0.5   1.2745E-09  8.6161E-12  8.6161E-12  2.9563E-07  3.7908E-12  1.6370E-11  5.4439E-14  1.9778E-10  1.6567E-13  3.2927E-13
   1.5   1.2692E-09  8.4720E-12  8.4720E-12  2.9558E-07  4.6968E-12  1.8824E-11  7.3240E-14  3.0256E-10  4.1931E-13  8.3297E-13
   2.5   1.1796E-09  8.0960E-12  8.0960E-12  2.9553E-07  5.8240E-12  2.1981E-11  9.7830E-14  4.3760E-10  1.1027E-12  2.1894E-12
   3.5   9.9271E-10  7.1965E-12  7.1965E-12  2.9547E-07  7.4791E-12  2.6172E-11  1.2987E-13  5.7466E-10  2.9578E-12  5.8720E-12
   5.5   5.5986E-10  4.8130E-12  4.8130E-12  2.9533E-07  1.2101E-11  3.3725E-11  2.0296E-13  7.8408E-10  1.8844E-11  3.7441E-11
   7.5   2.6884E-10  2.8604E-12  2.8604E-12  2.9516E-07  1.4603E-11  2.9104E-11  1.9012E-13  8.5571E-10  5.3607E-11  1.0665E-10
   9.5   1.1053E-10  1.4476E-12  1.4476E-12  2.9494E-07  2.2600E-11  2.9998E-11  2.4348E-13  9.0711E-10  6.3010E-11  1.2554E-10
  11.5   2.4925E-11  5.3683E-13  5.3683E-13  2.9431E-07  4.4670E-11  4.1104E-11  4.0803E-13  1.1210E-09  4.2695E-11  8.5205E-11
  13.5   4.7199E-12  3.1691E-13  3.1691E-13  2.9109E-07  7.9486E-11  1.0002E-10  4.6114E-13  2.2176E-09  4.0499E-11  8.0892E-11
  15.5   1.6906E-12  1.9508E-13  1.9508E-13  2.8161E-07  1.4433E-10  3.0209E-10  5.5242E-13  5.3714E-09  6.4264E-11  1.2845E-10
  17.5   1.2749E-12  1.6114E-13  1.6114E-13  2.6484E-07  2.2937E-10  7.0266E-10  6.8096E-13  1.0743E-08  1.1462E-10  2.2915E-10
  19.5   1.5733E-12  1.7472E-13  1.7472E-13  2.4238E-07  3.2210E-10  1.2541E-09  8.6265E-13  1.7574E-08  1.8740E-10  3.7470E-10
  21.5   2.6665E-12  2.3842E-13  2.3842E-13  2.1706E-07  4.1539E-10  1.8860E-09  1.1098E-12  2.4731E-08  2.7428E-10  5.4842E-10
  23.5   5.1896E-12  3.7329E-13  3.7329E-13  1.9040E-07  5.1829E-10  2.6332E-09  1.4681E-12  3.1452E-08  3.6714E-10  7.3408E-10
  25.5   9.1547E-12  5.7219E-13  5.7219E-13  1.6311E-07  6.7431E-10  3.6641E-09  2.0959E-12  3.7048E-08  4.4610E-10  8.9196E-10
  27.5   1.3423E-11  8.1436E-13  8.1436E-13  1.3542E-07  9.4908E-10  5.2590E-09  3.2928E-12  4.0754E-08  4.9315E-10  9.8606E-10
  29.5   1.5721E-11  1.0585E-12  1.0585E-12  1.0811E-07  1.4525E-09  7.6292E-09  5.7068E-12  4.1712E-08  4.7627E-10  9.5241E-10
  31.5   1.4719E-11  1.2716E-12  1.2716E-12  8.2369E-08  2.3432E-09  1.0540E-08  1.0547E-11  3.9458E-08  3.7694E-10  7.5390E-10
  33.5   1.1500E-11  1.4774E-12  1.4774E-12  5.9857E-08  3.8329E-09  1.3257E-08  1.9063E-11  3.3783E-08  2.3404E-10  4.6821E-10
  35.5   7.8974E-12  1.6877E-12  1.6877E-12  4.1706E-08  6.0879E-09  1.4616E-08  3.0982E-11  2.5373E-08  1.1386E-10  2.2785E-10
  37.5   5.1653E-12  1.9023E-12  1.9023E-12  2.8456E-08  8.9757E-09  1.3423E-08  4.5029E-11  1.6519E-08  4.4792E-11  8.9657E-11
  39.5   3.5402E-12  2.1700E-12  2.1700E-12  1.9296E-08  1.2032E-08  9.9533E-09  5.6776E-11  8.8859E-09  1.4744E-11  2.9516E-11
  41.5   2.7438E-12  2.4396E-12  2.4396E-12  1.3154E-08  1.4231E-08  6.0172E-09  5.5587E-11  3.7082E-09  4.4726E-12  8.9538E-12
  43.5   2.3952E-12  2.6588E-12  2.6588E-12  9.1077E-09  1.4907E-08  3.2581E-09  4.1137E-11  1.2629E-09  1.3794E-12  2.7614E-12
  45.5   2.2218E-12  2.8506E-12  2.8506E-12  6.4436E-09  1.4525E-08  1.7465E-09  2.5419E-11  3.9594E-10  4.4607E-13  8.9294E-13
  47.5   2.1183E-12  3.0635E-12  3.0635E-12  4.6502E-09  1.3673E-08  9.6481E-10  1.4460E-11  1.2426E-10  1.5096E-13  3.0218E-13
  49.5   1.9616E-12  3.0472E-12  3.0472E-12  3.4078E-09  1.2638E-08  5.4759E-10  8.6626E-12  4.3305E-11  5.7345E-14  1.1478E-13
  51.5   1.8249E-12  3.0240E-12  3.0240E-12  2.5359E-09  1.1557E-08  3.1923E-10  5.2103E-12  1.6116E-11  2.2923E-14  4.5881E-14
  53.5   1.6478E-12  2.7784E-12  2.7784E-12  1.9266E-09  1.0511E-08  1.9268E-10  3.3900E-12  6.8008E-12  1.0305E-14  2.0623E-14
  55.5   1.4826E-12  2.5007E-12  2.5007E-12  1.4899E-09  9.5259E-09  1.2181E-10  2.2636E-12  3.1535E-12  4.9760E-15  9.9576E-15
  57.5   1.3397E-12  2.2332E-12  2.2332E-12  1.1675E-09  8.6141E-09  8.2493E-11  1.5342E-12  1.5967E-12  2.6053E-15  5.2129E-15
  59.5   1.2080E-12  1.9605E-12  1.9605E-12  9.2382E-10  7.7847E-09  6.1228E-11  1.0627E-12  9.0407E-13  1.5207E-15  3.0424E-15
  61.5   1.0730E-12  1.6793E-12  1.6793E-12  7.3509E-10  7.0429E-09  4.9940E-11  7.5075E-13  5.7702E-13  9.9017E-16  1.9808E-15
  63.5   8.8357E-13  1.1663E-12  1.1663E-12  5.8782E-10  6.3987E-09  4.5574E-11  6.1642E-13  4.5482E-13  8.0933E-16  1.6189E-15
  65.5   7.6346E-13  1.0439E-12  1.0439E-12  4.7039E-10  5.8857E-09  4.1341E-11  4.1009E-13  3.2579E-13  5.5802E-16  1.1161E-15
  67.5   6.4199E-13  8.1224E-13  8.1224E-13  3.7160E-10  5.4640E-09  4.1430E-11  3.1101E-13  2.6336E-13  4.5452E-16  9.0909E-16
  69.5   5.2634E-13  6.0657E-13  6.0657E-13  2.8910E-10  5.1291E-09  4.4575E-11  2.5154E-13  2.3858E-13  4.1056E-16  8.2117E-16
  71.5   4.1981E-13  4.4171E-13  4.4171E-13  2.2109E-10  4.8684E-09  4.7421E-11  2.0852E-13  2.1622E-13  3.6359E-16  7.2725E-16
  73.5   3.1805E-13  3.1943E-13  3.1943E-13  1.6197E-10  4.6455E-09  4.4255E-11  1.6322E-13  1.7031E-13  2.6757E-16  5.3519E-16
  75.5   2.1731E-13  2.1497E-13  2.1497E-13  1.0871E-10  4.4227E-09  3.4344E-11  1.1798E-13  1.0945E-13  1.5422E-16  3.0846E-16
  77.5   1.3088E-13  1.3076E-13  1.3076E-13  6.4697E-11  4.1808E-09  2.1909E-11  7.7152E-14  5.6586E-14  6.8685E-17  1.3738E-16
  79.5   6.7920E-14  7.0321E-14  7.0321E-14  3.1839E-11  3.8970E-09  1.3011E-11  5.2833E-14  2.5008E-14  2.6601E-17  5.3205E-17
  81.5   2.5915E-14  2.1689E-14  2.1689E-14  1.0950E-11  3.5473E-09  1.1222E-12  1.1311E-14  6.2570E-15  3.1679E-18  6.3353E-18
  83.5   8.9790E-15  1.1013E-14  1.1013E-14  2.7721E-12  3.1332E-09  4.8535E-14  1.3242E-15  1.2947E-15  2.1641E-19  4.3278E-19
  85.5   3.0894E-15  7.7064E-15  7.7064E-15  6.5414E-13  2.7182E-09  1.1979E-14  2.7786E-16  2.6766E-16  1.4926E-20  2.9849E-20
  87.5   1.0687E-15  6.1614E-15  6.1614E-15  1.6833E-13  2.3378E-09  6.2264E-15  6.4807E-17  5.5660E-17  1.0529E-21  2.1056E-21
  89.5   3.7127E-16  5.3571E-15  5.3571E-15  5.0358E-14  2.0064E-09  3.6743E-15  1.6031E-17  1.1589E-17  7.5530E-23  1.5104E-22
  91.5   1.3010E-16  4.9105E-15  4.9105E-15  1.8072E-14  1.7327E-09  2.1738E-15  3.6808E-18  2.4308E-18  5.5720E-24  1.1143E-23
  93.5   4.5930E-17  4.6238E-15  4.6238E-15  7.7499E-15  1.5178E-09  1.3204E-15  8.7007E-19  5.1278E-19  4.2520E-25  8.5029E-25
  95.5   1.6478E-17  4.3963E-15  4.3963E-15  3.9682E-15  1.3614E-09  8.2530E-16  2.1003E-19  1.0958E-19  3.4395E-26  6.8780E-26
  97.5   6.2418E-18  4.1770E-15  4.1770E-15  2.4674E-15  1.2620E-09  5.3349E-16  5.1396E-20  2.4248E-20  3.0666E-27  6.1323E-27
  99.5   3.1481E-18  3.9403E-15  3.9403E-15  1.9338E-15  1.2174E-09  3.5832E-16  1.3133E-20  7.2483E-21  3.7955E-28  7.5896E-28
Alt(km)   CH3QOH      CH3OQ       CH3QO       N2Q         NQ          NOQ         HNOQ        HNO2Q       HOQNO2      HO2NOQ  
 
   TPI   1.7057E+11  2.9479E+11  2.9479E+11  3.6283E+06  2.3005E+13  4.6301E+13  2.1354E+10  1.5782E+11  7.5743E+10  1.5069E+11
   TLI   1.6445E+11  2.9459E+11  2.9459E+11  1.1236E+09  2.3005E+13  4.6301E+13  2.1353E+10  1.5545E+11  7.5741E+10  1.5068E+11
 
Alt(km)   NO2Q        N2O4Q       N2QO4       OQ          SQ          SOQ         H2SO3Q      HSQ         COQ     
   0.5   1.1279E-14  7.4173E-17  1.8543E-17  4.2000E-01  4.7319E-20  5.5163E-11  8.7686E-12  6.1591E-14  8.0000E-04
   1.5   1.3153E-14  1.5368E-16  3.8421E-17  4.2001E-01  7.2356E-20  9.4641E-11  1.7472E-11  7.5708E-14  8.0916E-04
   2.5   1.6357E-14  3.5305E-16  8.8263E-17  4.2002E-01  1.0928E-19  1.2855E-10  2.7348E-11  8.8076E-14  8.1815E-04
   3.5   2.0013E-14  8.7077E-16  2.1769E-16  4.2003E-01  1.6456E-19  1.5953E-10  3.7031E-11  1.0339E-13  8.2683E-04
   5.5   2.4437E-14  4.4248E-15  1.1062E-15  4.2004E-01  3.8992E-19  2.2056E-10  5.3175E-11  1.4803E-13  8.4272E-04
   7.5   2.1087E-14  1.1939E-14  2.9846E-15  4.2005E-01  8.6591E-19  2.7948E-10  5.7775E-11  2.1675E-13  8.5523E-04
   9.5   1.9879E-14  4.4312E-14  1.1078E-14  4.2006E-01  1.6811E-18  2.8379E-10  5.2179E-11  2.3349E-13  8.6203E-04
  11.5   2.2607E-14  2.0157E-13  5.0393E-14  4.2006E-01  5.9681E-19  1.3081E-10  2.5323E-11  4.3975E-14  8.6205E-04
  13.5   3.4287E-14  6.7093E-13  1.6773E-13  4.2006E-01  2.6303E-20  2.8162E-11  3.9002E-12  1.9667E-15  8.6213E-04
  15.5   7.8230E-14  3.5503E-12  8.8758E-13  4.2005E-01  1.0607E-21  3.4020E-12  3.3888E-13  2.8019E-17  8.6226E-04
